"FlowORT_binary","balance-scale_enc.csv",625,2,3600,2,213.0,0.0,11491.0,245.80001091957092,0.01875521159057736,0.3856,0.3408,0.6320474777448071,0.3679525222551929,True,False,2.3824,2.0
"FlowORT_binary","balance-scale_enc.csv",625,3,3600,9,191.99999852941176,100.0,20232.0,3600.696140050888,0.014683656451949023,0.3872,0.3072,0.5697329376854599,0.43026706231454015,True,True,2.3824,2.0
"FlowORT","balance-scale_enc.csv",625,2,3600,2,5213.0,0.0,1798.0,75.53414702415466,0.01875521159057736,0.3856,0.3408,0.6320474777448071,0.3679525222551929,True,False,2.3824,2.0
"FlowORT","balance-scale_enc.csv",625,3,3600,9,15183.999999999969,0.08561643835585309,205616.0,3600.712828874588,0.07982853867002493,0.361599999999991,0.29440000000000865,0.5459940652819152,0.4540059347180848,True,True,2.3824,2.0
"FlowORT_binary","breast-cancer_enc.csv",277,2,3600,2,62.0,0.0,11684.0,115.2634129524231,-0.08175862937767686,0.22382671480144403,0.22382671480144403,0.7654320987654321,0.23456790123456794,True,True,0.2924187725631769,0.0
"FlowORT_binary","breast-cancer_enc.csv",277,3,3600,9,54.99999794414874,100.0,42630.0,3600.4878408908844,0.04037540942302853,0.19855595667870035,0.19855595667870035,0.6790123456790124,0.32098765432098764,True,True,0.2924187725631769,0.0
"FlowORT","breast-cancer_enc.csv",277,2,3600,2,1169.9999999999998,0.0,5620.0,34.265164852142334,-0.08175862937767686,0.22382671480144403,0.22382671480144403,0.7654320987654321,0.23456790123456794,True,True,0.2924187725631769,0.0
"FlowORT","breast-cancer_enc.csv",277,3,3600,9,3378.0,1.1912894683765192,362457.0,3600.468828201294,0.057823129251700744,0.19494584837545126,0.19494584837545126,0.6666666666666666,0.33333333333333337,True,True,0.2924187725631769,0.0
"FlowORT_binary","hayes-roth_enc.csv",132,2,3600,2,54.99999600000001,0.0,2520.0,5.686333894729614,0.21451565700907238,0.4621212121212121,0.4166666666666667,0.6790123456790124,0.32098765432098764,True,False,1.8409090909090908,2.0
"FlowORT_binary","hayes-roth_enc.csv",132,3,3600,9,37.99999875605677,62.96782043977088,668717.0,3600.1120069026947,0.45917474510702605,0.318181800270195,0.2878787968346005,0.4691358170637934,0.5308641829362066,True,True,1.8409090909090908,2.0
"FlowORT","hayes-roth_enc.csv",132,2,3600,2,1110.9999999999998,0.0,2133.0,2.8974218368530273,0.21451565700907238,0.4621212121212121,0.4166666666666667,0.6790123456790124,0.32098765432098764,True,False,1.8409090909090908,2.0
"FlowORT","hayes-roth_enc.csv",132,3,3600,2,3206.0,0.008317737575357746,61513.0,101.31973314285278,0.4334211296458883,0.3333333333333333,0.2878787878787879,0.4691358024691358,0.5308641975308642,True,True,1.8409090909090908,2.0
"FlowORT_binary","house-votes-84_enc.csv",232,2,3600,2,7.0,0.0,789.0,5.74152398109436,0.8787335722819594,0.03017241379310345,0.03017241379310345,0.06481481481481481,0.9351851851851852,True,True,0.46551724137931033,0.0
"FlowORT_binary","house-votes-84_enc.csv",232,3,3600,9,4.999997675381665,100.0,76659.0,3600.26971411705,0.9133811230585425,0.021551724137931036,0.021551724137931036,0.046296296296296294,0.9537037037037037,True,False,0.46551724137931033,0.0
"FlowORT","house-votes-84_enc.csv",232,2,3600,2,935.0,0.0,193.0,1.5322439670562744,0.8787335722819594,0.03017241379310345,0.03017241379310345,0.06481481481481481,0.9351851851851852,True,True,0.46551724137931033,0.0
"FlowORT","house-votes-84_enc.csv",232,3,3600,2,2789.0,0.009778675967330359,46249.0,177.57124614715576,0.9133811230585425,0.021551724137931036,0.021551724137931036,0.046296296296296294,0.9537037037037037,True,False,0.46551724137931033,0.0
"FlowORT_binary","spect_enc.csv",267,2,3600,2,54.99999967226667,5.090922461427357e-09,10254.0,60.41788625717163,-0.25943396226415105,0.20599250936329588,0.20599250936329588,1.0,0.0,True,False,0.7940074906367042,1.0
"FlowORT_binary","spect_enc.csv",267,3,3600,9,48.0,31.944444444444436,47453.0,3600.361051797867,-0.09914236706689539,0.1797752808988764,0.1797752808988764,0.8727272727272727,0.12727272727272732,True,True,0.7940074906367042,1.0
"FlowORT","spect_enc.csv",267,2,3600,2,1123.0,0.0,6497.0,18.113456964492798,-0.25943396226415105,0.20599250936329588,0.20599250936329588,1.0,0.0,True,False,0.7940074906367042,1.0
"FlowORT","spect_enc.csv",267,3,3600,9,3252.0,0.03843788437875989,768517.0,3600.30953001976,-0.09914236706689539,0.1797752808988764,0.1797752808988764,0.8727272727272727,0.12727272727272732,True,True,0.7940074906367042,1.0
